playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8474884,M. Hoffman,SJS,C,18464,21,6,2,1,26,7,14,2478,6,-8,24.8,C,F,4.84,1.18,0,60,70.8
8475714,C. Jarnkrok,TOR,C,17649,19,5,6,1,34,14,7,1135,1934,7,24.8,C,F,5.06,1.31,0,63,82.53
8482720,M. Knies,TOR,L,16256,19,6,4,1,25,28,6,555,716,1,24.8,W,F,5.49,1.31,0,63,82.53
8475848,B. Gallagher,MTL,R,17596,21,5,4,3,48,14,6,3047,0,-12,24.7,W,F,5.05,1.18,0,61,71.97999999999999
8478399,J. Siegenthaler,NJD,D,22599,19,0,4,0,21,21,33,80,2788,0,24.7,D,D,3.93,1.3,0,63,81.9
8475765,V. Tarasenko,OTT,R,15993,17,3,10,3,28,19,5,2614,9,6,24.7,W,F,5.56,1.45,0,65,94.25
8478463,A. Beauvillier,VAN,L,18021,22,2,6,2,37,14,17,1590,59,8,24.6,W,F,4.91,1.12,0,60,67.2
8483515,J. Slafkovsky,MTL,L,19039,21,2,4,1,31,35,19,2753,15,-3,24.6,W,F,4.65,1.17,0,61,71.36999999999999
8482062,C. Smith,NSH,L,15726,20,4,4,2,25,46,9,85,2782,4,24.6,W,F,5.63,1.23,0,62,76.26
8479359,B. Malenstyn,WSH,L,13798,18,2,1,0,25,41,26,17,3248,3,24.6,W,F,6.42,1.37,0,64,87.68
8482665,M. Beniers,SEA,C,24249,22,3,7,5,38,12,8,3707,517,-15,24.5,C,F,3.64,1.11,0,60,66.60000000000001
8477964,I. Barbashev,VGK,C,19557,22,4,2,1,35,40,13,2034,42,4,24.5,C,F,4.51,1.11,0,60,66.60000000000001
8476480,V. Namestnikov,WPG,C,18140,20,2,9,1,31,12,13,1548,1780,11,24.3,C,F,4.82,1.22,0,62,75.64
8477505,A. Wennberg,SEA,C,24137,22,2,6,1,31,7,20,1784,2702,0,24.3,C,F,3.62,1.1,0,60,66.0
8478047,M. Bunting,CAR,L,17299,19,4,8,5,27,5,5,3465,16,-3,24.2,W,F,5.04,1.27,0,62,78.74
8478421,A. Greer,CGY,L,11252,21,4,4,1,26,36,11,195,157,2,24.2,W,F,7.74,1.15,0,60,69.0
8478416,E. Cernak,TBL,D,24215,21,0,4,0,14,47,28,76,3955,0,24.1,D,D,3.58,1.15,0,60,69.0
8478020,M. Amadio,VGK,R,16199,22,3,8,3,34,6,9,531,89,9,24.0,W,F,5.33,1.09,0,60,65.4
8483808,A. Kuzmenko,VAN,L,17559,19,3,11,5,28,2,3,4866,0,1,24.0,W,F,4.92,1.26,0,60,75.6
8475314,A. Lee,NYI,L,18111,20,4,1,1,42,28,15,2092,21,-4,24.0,W,F,4.77,1.2,0,62,74.39999999999999
8474151,R. McDonagh,NSH,D,15743,13,0,6,1,10,9,31,157,2454,4,23.900000000000002,D,D,5.47,1.84,0,62,114.08
8480049,D. Samberg,WPG,D,18215,20,0,5,1,20,9,31,7,2364,4,23.9,D,D,4.72,1.19,0,62,73.78
8475220,M. Foligno,MIN,L,17208,19,2,5,0,19,55,15,1064,1583,5,23.9,W,F,5.0,1.26,0,63,79.38
8476429,S. Mayfield,NYI,D,14724,13,0,2,0,15,19,37,5,1639,0,23.9,D,D,5.84,1.84,0,62,114.08
8478178,D. Raddysh,TBL,D,24889,22,0,7,0,23,15,26,213,1121,-10,23.8,D,D,3.44,1.08,0,60,64.80000000000001
8476346,J. Gaudreau,CBJ,L,26692,23,3,8,2,53,0,7,4912,2,-2,23.8,W,F,3.21,1.03,0,59,60.77
8477369,C. Soucy,VAN,D,13151,13,2,3,2,12,16,26,239,1419,6,23.8,D,D,6.52,1.83,13,47,86.01
8479992,M. Rasmussen,DET,C,18176,20,2,4,0,28,20,22,88,2532,5,23.8,C,F,4.71,1.19,0,62,73.78
8481535,N. Hoglander,VAN,L,12693,20,7,3,0,24,14,6,252,0,10,23.8,W,F,6.75,1.19,0,60,71.39999999999999
8479400,P. Dubois,LAK,C,18730,19,5,6,1,36,11,5,4198,75,0,23.7,C,F,4.56,1.25,0,63,78.75
8477429,A. Copp,DET,C,21029,20,5,2,1,40,2,14,1940,3525,-2,23.7,C,F,4.06,1.18,0,62,73.16
8474189,L. Eller,PIT,C,17371,20,3,5,1,48,8,13,140,2643,2,23.6,C,F,4.89,1.18,0,62,73.16
8481624,I. Mikheyev,VAN,R,15357,18,7,4,0,39,7,2,1177,450,0,23.6,W,F,5.53,1.31,0,60,78.60000000000001
8477507,N. Zadorov,CGY,D,23188,21,1,5,0,29,41,19,173,2029,-6,23.5,D,D,3.65,1.12,0,60,67.2
8476871,T. Pearson,MTL,L,17948,21,3,4,2,34,21,14,2576,1681,-3,23.5,W,F,4.71,1.12,0,61,68.32000000000001
8475200,D. Orlov,CAR,D,20816,20,1,6,2,35,25,17,1678,803,-9,23.5,D,D,4.06,1.18,0,62,73.16
8484153,L. Carlsson,ANA,C,15037,14,6,3,4,30,10,5,2500,68,-3,23.5,C,F,5.63,1.68,0,61,102.47999999999999
8480879,J. Bernard-Docker,OTT,D,13738,13,0,2,0,4,11,40,91,780,-5,23.5,D,D,6.16,1.81,0,65,117.65
8481032,P. Cotter,VGK,C,16157,22,3,3,3,27,63,8,772,0,-2,23.5,C,F,5.24,1.07,0,60,64.2
8481068,Y. Sharangovich,CGY,C,18760,22,5,5,1,41,3,7,1363,1952,-6,23.4,C,F,4.49,1.06,0,60,63.6
8477969,M. Pettersson,PIT,D,26012,20,0,4,0,20,17,31,220,3358,10,23.2,D,D,3.21,1.16,0,62,71.92
8477508,C. Lazar,NJD,C,12259,17,3,2,1,19,37,18,55,1150,3,23.1,C,F,6.78,1.36,0,63,85.68
8481528,D. Cozens,BUF,C,19873,20,4,5,3,46,15,5,2878,934,-4,23.1,C,F,4.18,1.16,0,60,69.6
8476858,P. Di Giuseppe,VAN,L,19048,22,3,5,0,30,31,12,21,1803,5,23.1,W,F,4.37,1.05,0,60,63.0
8476856,M. Dumba,ARI,D,23072,19,2,2,0,25,25,24,230,3701,-9,23.0,D,D,3.59,1.21,0,62,75.02
8475181,N. Leddy,STL,D,25748,20,2,3,1,24,5,25,53,2488,-3,22.9,D,D,3.2,1.14,0,62,70.67999999999999
8476474,S. Noesen,CAR,R,13727,20,5,6,3,25,19,2,2407,57,3,22.9,W,F,6.01,1.14,0,62,70.67999999999999
8475762,D. Forbort,BOS,D,18709,17,0,3,0,11,23,33,50,3729,7,22.9,D,D,4.41,1.35,0,61,82.35000000000001
8475197,T. Barrie,NSH,D,22685,20,0,8,3,27,6,20,3796,161,-4,22.8,D,D,3.62,1.14,0,62,70.67999999999999
8470600,R. Suter,DAL,D,22668,19,0,5,0,28,15,27,102,1607,1,22.8,D,D,3.62,1.2,0,63,75.6
8480798,P. Kurashev,CHI,C,14505,13,4,8,2,23,5,6,1650,706,-3,22.8,C,F,5.66,1.75,0,63,110.25
8480281,A. Toropchenko,STL,R,14947,20,4,2,2,28,24,13,37,1168,0,22.7,W,F,5.47,1.14,0,62,70.67999999999999
8478413,J. Greenway,BUF,L,19536,19,2,4,0,24,28,19,178,3752,-1,22.7,W,F,4.18,1.19,0,60,71.39999999999999
