"id,fullName"
"2555470,Mark Borowiecki"
"2556063,Patrick Brown"
"2556248,Chasen Balisy"
"2557840,Keith Kinkaid"
"2558631,Mattias Ekholm"
"2560083,Louis Domingue"
"2562596,Joel Armia"
"2562597,Sven Baertschi"
"2562598,Nathan Beaulieu"
"2562600,Jonas Brodin"
"2562601,Sean Couturier"
"2562602,Phillip Danault"
"2562605,Dougie Hamilton"
"2562606,Jonathan Huberdeau"
"2562609,Gabriel Landeskog"
"2562610,Adam Larsson"
"2562618,Connor Murphy"
"2562622,Vladislav Namestnikov"
"2562623,Stefan Noesen"
"2562624,Ryan Nugent-Hopkins"
"2562625,Jamie Oleksiak"
"2562629,Rickard Rakell"
"2562632,Mark Scheifele"
"2562636,Ryan Strome"
"2562637,Mika Zibanejad"
"2563016,Andy Andreoff"
"2563023,Daniel Catenacci"
"2563025,Tyler Wotherspoon"
"2563026,Blake Coleman"
"2563027,Nick Cousins"
"2563028,Andy Welinski"
"2563029,Joseph Cramarossa"
"2563033,T.J. Tynan"
"2563034,Joel Edmundson"
"2563036,Vincent Trocheck"
"2563037,Steven Fogarty"
"2563039,Johnny Gaudreau"
"2563040,Christopher Gibson"
"2563044,Rocco Grimaldi"
"2563045,Scott Harrington"
"2563047,Magnus Hellberg"
"2563050,Logan Shaw"
"2563053,Dmitrij Jaskin"
"2563054,Boone Jenner"
"2563055,Tomas Jurco"
"2563057,William Karlsson"
"2563060,Nikita Kucherov"
"2563065,Brandon Saad"
"2563066,Adam Lowry"
"2563069,Scott Mayfield"
"2563074,Brett Ritchie"
"2563076,Matt Nieto"
"2563079,Xavier Ouellet"
"2563080,Kyle Rau"
"2563085,Victor Rask"
"2564148,Fredrik Claesson"
"2564154,Sean Kuraly"
"2564163,Tobias Rieder"
"2564164,Nick Seeler"
"2564331,Nikita Nesterov"
"2564334,Andrew Shaw"
"2570752,Craig Smith"
"2590273,Lukas Sedlak"
"2590363,Cory Conacher"
"2590379,Joonas Donskoi"
"2590381,Wade Megan"
"2590382,Seth Griffith"
"2590389,Ondrej Palat"
"2590399,Matt Read"
"2590407,Drew Shore"
"2590549,Jakob Silfverberg"
"2590558,Leo Komarov"
"2590559,Josh Leivo"
"2590569,Garret Sparks"
"2590629,Will O'Neill"
"2590705,Alex Chiasson"
"2590751,John Klingberg"
"2590752,Patrik Nemeth"
"2590796,Colin Miller"
"2590824,John Gibson"
"2590829,Josh Manson"
"2590833,Chris Wagner"
"2590835,Sami Vatanen"
"2590847,Jesper Fast"
"2590852,J.T. Miller"
"2590854,Christian Thomas"
"2590857,Colin Blackwell"
"2590861,Dylan DeMelo"
"2590874,Jordan Binnington"
"2591153,Kenny  Agostino"
"2591154,Josh Archibald"
"2591155,Bryan Rust"
"2592084,Markus  Hannikainen"
"2592095,Teuvo Teravainen"
"2592097,Tyler Graovac"
"2592485,Turner Elson"
"2593131,Jean-Gabriel Pageau"
"2593311,Erik Haula"
"2593312,Johan Larsson"
"2593315,Jason Zucker"
"2610321,Darcy Kuemper"
"2952729,Torey Krug"
"2952877,J.T.  Brown"
"2956552,Kevan Miller"
"2960288,Jani Hakanpaa"
"2961348,Niklas Svedberg"
"2961569,Marek Hrivik"
"2966501,Ryan Murray"
"2966502,Alex Galchenyuk"
"2967072,Jonathan Marchessault"
"2968432,Michael Houser"
"2968772,Filip Forsberg"
"2968818,Hampus Lindholm"
"2968829,Zemgus Girgensons"
"2970615,Tom Wilson"
"2970689,Matt Dumba"
"2976833,Morgan Rielly"
"2976834,Derrick Pouliot"
"2976839,Jacob Trouba"
"2976840,Slater Koekkoek"
"2976841,Mikhail Grigorenko"
"2976842,Radek Faksa"
"2976843,Cody Ceci"
"2976844,Tomas Hertl"
"2976847,Andrei Vasilevskiy"
"2976848,Scott Laughton"
"2976849,Mark Jankowski"
"2976850,Olli Maatta"
