playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,team,opponent,gameDate,gameTime,gameId,start,shutout,win
8478406,29,M. Blackwood,G,40/41,9/9,2/2,51/52,0.981,1,0,0,0,1,3900,SJS,COL,2023-10-14,Saturday 10:00 PM,2023020030,1,0,1
8478499,33,A. Hill,G,18/19,4/4,0/0,22/23,0.957,1,0,0,0,1,3543,VGK,ANA,2023-10-14,Saturday 10:00 PM,2023020031,1,0,4
8477831,29,P. Copley,G,10/13,3/3,1/3,14/19,0.737,3,0,2,0,5,3864,LAK,CAR,2023-10-14,Saturday 10:30 PM,2023020032,1,0,1
8476914,70,J. Korpisalo,G,19/21,3/3,0/0,22/24,0.917,2,0,0,0,2,3574,OTT,TBL,2023-10-15,Sunday 07:00 PM,2023020033,1,0,4
8480843,1,L. Dostal,G,24/25,8/10,0/0,32/35,0.914,1,2,0,0,3,3579,ANA,CAR,2023-10-15,Sunday 08:30 PM,2023020034,1,0,4
8477484,30,S. Martin,G,18/20,4/6,2/2,24/28,0.857,2,2,0,0,4,3556,CBJ,DET,2023-10-16,Monday 07:00 PM,2023020035,1,0,0
8477970,41,V. Vanecek,G,21/24,4/5,1/1,26/30,0.867,3,1,0,0,4,3360,NJD,FLA,2023-10-16,Monday 07:00 PM,2023020036,1,0,0
8478048,31,I. Shesterkin,G,19/19,7/8,0/0,26/27,0.963,0,1,0,2,1,3595,NYR,ARI,2023-10-16,Monday 07:00 PM,2023020037,1,0,4
8479361,60,J. Woll,G,24/26,3/4,0/0,27/30,0.9,2,1,0,0,3,3373,TOR,CHI,2023-10-16,Monday 07:00 PM,2023020038,1,0,0
8475311,35,D. Kuemper,G,31/32,6/7,1/1,38/40,0.95,1,1,0,0,2,3900,WSH,CGY,2023-10-16,Monday 07:00 PM,2023020039,1,0,4
8482221,27,D. Levi,G,20/22,3/3,0/0,23/25,0.92,2,0,0,0,2,3706,BUF,TBL,2023-10-17,Tuesday 07:30 PM,2023020040,1,0,4
8478470,35,S. Montembeault,G,15/15,13/16,2/4,30/35,0.857,0,3,2,0,5,3496,MTL,MIN,2023-10-17,Tuesday 07:00 PM,2023020041,1,0,0
8479394,79,C. Hart,G,21/21,2/2,3/3,26/26,1.0,0,0,0,0,0,3583,PHI,VAN,2023-10-17,Tuesday 06:00 PM,2023020042,1,1,4
8478009,30,I. Sorokin,G,14/14,0/0,0/0,14/14,1.0,0,0,0,0,0,3589,NYI,ARI,2023-10-17,Tuesday 07:30 PM,2023020043,1,1,4
8480947,32,K. Lankinen,G,12/13,4/5,1/1,17/19,0.895,1,1,0,0,2,2400,NSH,EDM,2023-10-17,Tuesday 08:00 PM,2023020044,0,0,0
8477424,74,J. Saros,G,6/9,1/2,0/0,7/11,0.636,3,1,0,0,4,1132,NSH,EDM,2023-10-17,Tuesday 08:00 PM,2023020044,1,0,0
8476945,37,C. Hellebuyck,G,21/25,1/2,2/2,24/29,0.828,4,1,0,0,5,3595,WPG,LAK,2023-10-17,Tuesday 08:00 PM,2023020045,1,0,0
8475831,31,P. Grubauer,G,22/24,1/1,1/2,24/27,0.889,2,0,1,0,3,3579,SEA,COL,2023-10-17,Tuesday 10:00 PM,2023020046,1,0,0
8478406,29,M. Blackwood,G,21/23,8/11,7/8,36/42,0.857,2,3,1,0,6,3600,SJS,CAR,2023-10-17,Tuesday 10:30 PM,2023020047,1,0,0
8478499,33,A. Hill,G,21/23,2/2,1/1,24/26,0.923,2,0,0,0,2,3854,VGK,DAL,2023-10-17,Tuesday 10:30 PM,2023020048,1,0,4
8476341,31,A. Forsberg,G,18/19,4/4,1/1,23/24,0.958,1,0,0,0,1,3600,OTT,WSH,2023-10-18,Wednesday 07:00 PM,2023020049,1,0,4
